municipios_BR_dadosFID,municipios_BR_dadosmun_nm,municipios_BR_dadoscod_ibge,municipios_BR_dadosT2_1_man,municipios_BR_dadosT2_2_rpe,municipios_BR_dadosT2_2_qe_m3,municipios_BR_dadosT2_2_qe_ls,municipios_BR_dadosT2_4_tpsis,municipios_BR_dadosT2_4_tp_op,municipios_BR_dadosT3_1_c_man,municipios_BR_dadosT3_2_sispr,municipios_BR_dadosT3_3_avqtt,municipios_BR_dadosT3_4_dist,municipios_BR_dadosT3_5_efdis,municipios_BR_dadosT3_6_efpr,municipios_BR_dadosT3_7_ish,municipios_BR_dadosT3_8_plnac,municipios_BR_dadosT3_9_ivi,municipios_BR_dadosT3_10_perd,municipios_BR_dadosT2_2_SiSem,WebServices_Croquis_vfinalcsvHiperlink1,WebServices_Croquis_vfinalcsvNome_Croqui1,WebServices_Croquis_vfinalcsvHiperlink2,WebServices_Croquis_vfinalcsvNome_Croqui2,WebServices_Croquis_vfinalcsvHiperlink3,WebServices_Croquis_vfinalcsvNome_Croqui3,WebServices_Croquis_vfinalcsvHiperlink4,WebServices_Croquis_vfinalcsvNome_Croqui4,WebServices_Croquis_vfinalcsvHiperlink5,WebServices_Croquis_vfinalcsvNome_Croqui5,WebServices_Croquis_vfinalcsvHiperlink6,WebServices_Croquis_vfinalcsvNome_Croqui6,WebServices_Croquis_vfinalcsvHiperlink7,WebServices_Croquis_vfinalcsvNome_Croqui7
1524,Cantá,1400175,Exclusivamente Subterrânea,1400175,0.000534,0.533665,Sistema Isolado,Companhia Estadual,Manancial com Baixa Vulnerabilidade,Ampliação do sistema,Manancial com Baixa Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Baixa,Média,Média,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,D,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1400175_Canta.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1525,Barra do Rio Azul,4301925,Exclusivamente Subterrânea,4301925,0.001134,1.133655,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Alta,Média,Alta,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4301925_BarradoRioAzul.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1526,Victor Graeff,4323200,Exclusivamente Subterrânea,4323200,0.001126,1.125515,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4323200_VictorGraeff.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1527,Guajará-Mirim,1100106,Exclusivamente Superficial,1100106,0.000795,0.794652,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Adequação do sistema,Manancial Não Vulnerável com Adequação do sistema,50 ≥ Índice de Cobertura > 70%,Mínima,Alta,Média,Medida de Gestão,D,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1100106_GuajaraMirim.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1528,Itapuã do Oeste,1101104,Exclusivamente Superficial,1101104,0.003216,3.2162,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,70 ≥ Índice de Cobertura > 90%,Baixa,Média,Média,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,D,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1101104_ItapuadoOeste.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1529,São Francisco,3161106,Exclusivamente Superficial,3161106,0.000581,0.580658,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,70 ≥ Índice de Cobertura > 90%,Baixa,Máxima,Alta,Medida de Gestão,C,Ação não necessária,Sistema Isolado,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3161106_SaoFrancisco.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1530,São Francisco de Paula,3161205,Exclusivamente Superficial,3161205,0.001213,1.212551,Sistema Isolado,Companhia Estadual,Manancial com Baixa Vulnerabilidade,Satisfatório,Manancial com Baixa Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Alta,Alta,Alta,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3161205_SaoFranciscodePaula.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1531,São Francisco de Sales,3161304,Preponderantemente Superficial,3161304,0.00159,1.589666,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,70 ≥ Índice de Cobertura > 90%,Média,Máxima,Alta,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3161304_SaoFranciscodeSales.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1532,Machadinho D'Oeste,1100130,Preponderantemente Superficial,1100130,0.00114,1.139678,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,50 ≥ Índice de Cobertura > 70%,Mínima,Média,Baixa,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,C,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1100130_MachadinhoDOeste.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1533,Jaru,1100114,Exclusivamente Superficial,1100114,0.000833,0.833396,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,70 ≥ Índice de Cobertura > 90%,Baixa,Média,Média,Infraestrutura Recomendada,C,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1100114_Jaru.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1534,Ji-Paraná,1100122,Exclusivamente Superficial,1100122,0.000956,0.955758,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,70 ≥ Índice de Cobertura > 90%,Baixa,Média,Média,Infraestrutura Recomendada,C,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1100122_JiParana.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1535,Pelotas,4314407,Exclusivamente Superficial,4314407,0.000537,0.536578,Sistema Isolado,Autarquia Municipal,Manancial com Média Vulnerabilidade,Satisfatório,Manancial com Média Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Baixa,Mínima,Baixa,Infraestrutura Recomendada,D,Ação necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4314407_Pelotas.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1536,Amajari,1400027,Exclusivamente Subterrânea,1400027,0.001765,1.765016,Sistema Isolado,Companhia Estadual,Manancial com Baixa Vulnerabilidade,Satisfatório,Manancial com Baixa Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Baixa,Alta,Média,Medida de Gestão,D,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1400027_Amajari.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1537,Alto Alegre,1400050,Exclusivamente Superficial,1400050,0.001799,1.798834,Sistema Isolado,Companhia Estadual,Manancial com Baixa Vulnerabilidade,Satisfatório,Manancial com Baixa Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Baixa,Alta,Média,Medida de Gestão,D,Ação necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1400050_AltoAlegre.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1538,Boa Vista,1400100,Preponderantemente Superficial,1400100,0.00075,0.74952,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Baixa,Média,Média,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,D,Ação necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1400100_BoaVista.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1539,Bonfim,1400159,Exclusivamente Subterrânea,1400159,0.000436,0.43554,Sistema Isolado,Companhia Estadual,Manancial com Baixa Vulnerabilidade,Satisfatório,Manancial com Baixa Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Baixa,Alta,Média,Medida de Gestão,D,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1400159_Bonfim.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1540,São Simão,5220405,Exclusivamente Subterrânea,5220405,0.001869,1.868899,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,70 ≥ Índice de Cobertura > 90%,Baixa,Máxima,Alta,Medida de Gestão,C,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_5220405_SaoSimao.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1541,Alta Floresta D'Oeste,1100015,Exclusivamente Superficial,1100015,0.000529,0.529044,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,70 ≥ Índice de Cobertura > 90%,Baixa,Máxima,Alta,Medida de Gestão,D,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1100015_AltaFlorestaDOeste.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1542,Alvorada D'Oeste,1100346,Exclusivamente Superficial,1100346,0.000682,0.681751,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Média,Média,Média,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,B,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1100346_AlvoradaDOeste.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1543,Alto Alegre dos Parecis,1100379,Exclusivamente Subterrânea,1100379,0.00044,0.440416,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,50 ≥ Índice de Cobertura > 70%,Baixa,Média,Média,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1100379_AltoAlegredosParecis.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1544,Alto Paraíso,1100403,Exclusivamente Subterrânea,1100403,0.001836,1.83554,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Adequação do sistema,Manancial Não Vulnerável com Adequação do sistema,Índice de Cobertura < 50%,Mínima,Alta,Média,Medida de Gestão,B,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1100403_AltoParaiso.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1545,Buritis,1100452,Exclusivamente Superficial,1100452,0.001307,1.30747,Sistema Isolado,Concessionária Privada,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura < 50%,Mínima,Média,Baixa,Infraestrutura Recomendada,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1100452_Buritis.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1546,Mirante da Serra,1101302,Exclusivamente Superficial,1101302,0.000688,0.688094,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura < 50%,Mínima,Máxima,Média,Medida de Gestão,D,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1101302_MirantedaSerra.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1547,Monte Negro,1101401,Preponderantemente Superficial,1101401,0.001079,1.079406,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,50 ≥ Índice de Cobertura > 70%,Mínima,Máxima,Média,Medida de Gestão,C,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1101401_MonteNegro.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1548,São Félix de Minas,3161056,Exclusivamente Subterrânea,3161056,0.000325,0.324767,Sistema Isolado,Companhia Estadual,Manancial com Baixa Vulnerabilidade,Satisfatório,Manancial com Baixa Vulnerabilidade,70 ≥ Índice de Cobertura > 90%,Média,Alta,Alta,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3161056_SaoFelixdeMinas.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1549,São Francisco do Glória,3161403,Preponderantemente Superficial,3161403,0.00133,1.329623,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3161403_SaoFranciscodoGloria.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1550,Nova União,1101435,Exclusivamente Superficial,1101435,0.00087,0.869618,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Baixa,Máxima,Alta,Medida de Gestão,D,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1101435_NovaUniao .pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1551,Pimenta Bueno,1100189,Exclusivamente Superficial,1100189,0.001971,1.970678,Sistema Isolado,Concessionária Privada,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Média,Média,Média,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,C,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1100189_PimentaBueno.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1552,Porto Velho,1100205,Preponderantemente Superficial,1100205,0.002699,2.699475,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura < 50%,Mínima,Média,Baixa,Infraestrutura Recomendada,D,Ação necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1100205_PortoVelho.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1553,Campo Novo de Rondônia,1100700,Exclusivamente Superficial,1100700,0.002468,2.468148,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Baixa,Média,Média,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,D,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1100700_CampoNovoDeRondonia.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1554,Candeias do Jamari,1100809,Exclusivamente Subterrânea,1100809,0.002197,2.197087,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,70 ≥ Índice de Cobertura > 90%,Baixa,Média,Média,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,B,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1100809_CandeiasdoJamari.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1555,Parecis,1101450,Exclusivamente Superficial,1101450,0.002198,2.197717,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Adequação do sistema,Manancial Não Vulnerável com Adequação do sistema,70 ≥ Índice de Cobertura > 90%,Baixa,Alta,Média,Medida de Gestão,C,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1101450_Parecis.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1556,Pimenteiras do Oeste,1101468,Exclusivamente Subterrânea,1101468,0.000436,0.436175,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Adequação do sistema,Manancial Não Vulnerável com Adequação do sistema,Índice de Cobertura ≥ 97% (Pleno),Baixa,Alta,Média,Medida de Gestão,D,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1101468_PimenteirasdoOeste.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1557,Braga,4302600,Exclusivamente Subterrânea,4302600,0.000898,0.898095,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Média,Máxima,Alta,Medida de Gestão,B,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4302600_Braga.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1558,São Gonçalo do Sapucaí,3162005,Preponderantemente Superficial,3162005,0.003206,3.205795,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,70 ≥ Índice de Cobertura > 90%,Média,Máxima,Alta,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3162005_SaoGoncalodoSapucai.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1559,São Gotardo,3162104,Exclusivamente Superficial,3162104,0.001001,1.000525,Sistema Isolado,Companhia Estadual,Manancial com Média Vulnerabilidade,Ampliação do sistema,Manancial com Média Vulnerabilidade,90 ≥ Índice de Cobertura > 97%,Alta,Mínima,Média,Infraestrutura que Requer Estudo de Alternativas - Novo Manancial,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3162104_SaoGotardo.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1560,São Joaquim de Bicas,3162922,Exclusivamente Superficial,3162922,0.000923,0.923014,Sistema Integrado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,90 ≥ Índice de Cobertura > 97%,Média,Média,Média,Infraestrutura Recomendada,C,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_MG_INT_16_Paraopeba.pdf,Sistema Integrado Paraopeba,,,,,,,,,,,,
1561,São José da Barra,3162948,Exclusivamente Superficial,3162948,0.00321,3.20969,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,90 ≥ Índice de Cobertura > 97%,Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3162948_SaoJosedaBarra.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1562,São José da Lapa,3162955,Preponderantemente Superficial,3162955,0.001398,1.397978,Sistema Integrado,Companhia Estadual,Manancial com Baixa Vulnerabilidade,Ampliação do sistema,Manancial com Baixa Vulnerabilidade,90 ≥ Índice de Cobertura > 97%,Média,Baixa,Média,Infraestrutura Recomendada,C,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3162955_São José da Lapa.pdf,Sistemas,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_MG_INT_13_RiodasVelhas.pdf,Sistema Integrado Rio das Velhas,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_MG_INT_16_Paraopeba.pdf,Sistema Integrado Paraopeba,,,,,,,,
1563,Theobroma,1101609,Exclusivamente Superficial,1101609,0.000845,0.844764,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,70 ≥ Índice de Cobertura > 90%,Baixa,Média,Média,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,C,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1101609_Theobroma.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1564,Cerejeiras,1100056,Exclusivamente Superficial,1100056,0.000404,0.403814,Sistema Isolado,Companhia Estadual,Manancial com Média Vulnerabilidade,Satisfatório,Manancial com Média Vulnerabilidade,70 ≥ Índice de Cobertura > 90%,Baixa,Baixa,Baixa,Infraestrutura que Requer Estudo de Alternativas - Novo Manancial,C,Ação necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1100056_Cerejeiras.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1565,Chupinguaia,1100924,Exclusivamente Subterrânea,1100924,0.002238,2.237928,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Adequação do sistema,Manancial Não Vulnerável com Adequação do sistema,Índice de Cobertura < 50%,Mínima,Alta,Média,Medida de Gestão,D,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1100924_Chupinguaia.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1566,São José do Alegre,3163201,Exclusivamente Subterrânea,3163201,0.003183,3.182742,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Média,Máxima,Alta,Medida de Gestão,B,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3163201_SaoJosedoAlegre.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1567,São José do Divino,3163300,Preponderantemente Subterrânea,3163300,0.00021,0.210312,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura < 50%,Mínima,Média,Baixa,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,D,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3163300_SaoJosedoDivino.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1568,Corumbiara,1100072,Exclusivamente Superficial,1100072,0.000427,0.426919,Sistema Isolado,Companhia Estadual,Manancial com Baixa Vulnerabilidade,Satisfatório,Manancial com Baixa Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Média,Alta,Alta,Medida de Gestão,B,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1100072_Corumbiara.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1569,Costa Marques,1100080,Exclusivamente Superficial,1100080,0.00071,0.710324,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura < 50%,Mínima,Média,Baixa,Infraestrutura Potencial com Estudo Complementar,C,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1100080_CostaMarques.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1570,Cujubim,1100940,Preponderantemente Superficial,1100940,0.003543,3.543372,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Adequação do sistema,Manancial Não Vulnerável com Adequação do sistema,Índice de Cobertura < 50%,Mínima,Alta,Média,Medida de Gestão,B,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1100940_Cujubim.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1571,Governador Jorge Teixeira,1101005,Exclusivamente Subterrânea,1101005,0.000531,0.530865,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Adequação do sistema,Manancial Não Vulnerável com Adequação do sistema,50 ≥ Índice de Cobertura > 70%,Mínima,Alta,Média,Medida de Gestão,D,Sem Informação, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1101005_GovernadorJorgeTeixeira.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1572,São João Batista do Glória,3162203,Exclusivamente Superficial,3162203,0.003264,3.263917,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3162203_SãoJoãoBatistadoGlória.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1573,São José do Goiabal,3163409,Exclusivamente Subterrânea,3163409,0.00211,2.109636,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Média,Média,Média,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,B,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3163409_SaoJosedoGoiabal.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1574,São José do Jacuri,3163508,Exclusivamente Superficial,3163508,0.000993,0.993147,Sistema Isolado,Companhia Estadual,Manancial com Média Vulnerabilidade,Ampliação do sistema,Manancial com Média Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Alta,Mínima,Média,Infraestrutura que Requer Estudo de Alternativas - Novo Manancial,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3163508_SaoJosedoJacuri.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1575,São José do Mantimento,3163607,Exclusivamente Superficial,3163607,0.00103,1.030376,Sistema Isolado,Companhia Estadual,Manancial com Média Vulnerabilidade,Satisfatório,Manancial com Média Vulnerabilidade,90 ≥ Índice de Cobertura > 97%,Alta,Baixa,Média,Infraestrutura que Requer Estudo de Alternativas - Novo Manancial,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3163607_SaoJosedoMantimento.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
1576,São João da Lagoa,3162252,Exclusivamente Subterrânea,3162252,0.000604,0.603518,Sistema Isolado,Autarquia Municipal,Manancial com Baixa Vulnerabilidade,Ampliação do sistema,Manancial com Baixa Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Baixa,Média,Média,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,D,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3162252_SãoJoãodaLagoa.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
